accx;accy;accz;time
508;268;15844;35700
440;260;15840;35876
440;260;15840;36048
440;260;15840;36220
440;260;15840;36392
440;260;15840;36564
480;248;15900;36744
480;248;15900;36916
480;248;15900;37088
480;248;15900;37260
480;248;15900;37432
480;248;15900;37604
536;272;15916;37784
536;272;15916;37956
536;272;15916;38128
536;272;15916;38300
536;272;15916;38472
536;272;15916;38644
568;304;15912;38820
568;304;15912;38996
568;304;15912;39168
568;304;15912;39340
568;304;15912;39512
568;304;15912;39684
496;300;15900;39860
496;300;15900;40032
496;300;15900;40204
496;300;15900;40376
496;300;15900;40548
448;292;15816;40724
448;292;15816;40900
448;292;15816;41072
448;292;15816;41244
448;292;15816;41416
448;292;15816;41588
480;280;15856;41760
480;280;15856;41940
480;280;15856;42112
480;280;15856;42284
480;280;15856;42456
480;280;15856;42628
508;252;15872;42800
508;252;15872;42980
508;252;15872;43152
508;252;15872;43324
508;252;15872;43496
508;252;15872;43668
476;252;15912;43840
476;252;15912;44016
476;252;15912;44188
476;252;15912;44364
476;252;15912;44536
476;252;15912;44708
440;280;15944;44880
440;280;15944;45056
440;280;15944;45228
440;280;15944;45400
440;280;15944;45572
496;300;15980;45744
496;300;15980;45916
496;300;15980;46096
496;300;15980;46268
496;300;15980;46440
496;300;15980;46612
540;256;15972;46784
540;256;15972;46956
540;256;15972;47136
540;256;15972;47308
540;256;15972;47480
540;256;15972;47652
552;200;15908;47824
552;200;15908;47996
552;200;15908;48176
552;200;15908;48348
552;200;15908;48520
